epoch,capsnet_accuracy,capsnet_loss,decoder_loss,loss,val_capsnet_accuracy,val_capsnet_loss,val_decoder_loss,val_loss
0,0.3442857265472412,0.3448973894119262,0.0732146203517913,0.3735975623130798,0.3333333432674408,0.3697316944599151,0.0507426783442497,0.3896229267120361
1,0.4780952334403991,0.2940456867218017,0.0472325682640075,0.3125607967376709,0.4877777695655823,0.2711124718189239,0.050180546939373,0.2907832562923431
2,0.5638095140457153,0.2532972991466522,0.0463869571685791,0.2714809775352478,0.4977777898311615,0.3003532886505127,0.0491242595016956,0.319610059261322
3,0.6009523868560791,0.2366765737533569,0.0450463630259037,0.254334807395935,0.5388888716697693,0.2591949701309204,0.0494443476200103,0.2785772681236267
4,0.6057142615318298,0.2295879423618316,0.0429277345538139,0.2464156597852707,0.5877777934074402,0.2411461323499679,0.0507517680525779,0.2610407769680023
5,0.6347619295120239,0.2195580601692199,0.041929006576538,0.2359941750764846,0.5733333230018616,0.2502256333827972,0.0450698509812355,0.2678930461406708
6,0.6342856884002686,0.2272951900959015,0.0436861515045166,0.2444202005863189,0.5777778029441833,0.2589386403560638,0.0471250116825103,0.2774116396903991
7,0.666190505027771,0.2099656015634536,0.0406069010496139,0.2258835136890411,0.6033333539962769,0.2327431887388229,0.0417447946965694,0.249107152223587
8,0.6714285612106323,0.2055548429489135,0.0386320874094963,0.2206986546516418,0.5677777528762817,0.2698871493339538,0.0392349809408187,0.2852672338485718
9,0.6909523606300354,0.1980256736278534,0.0376891084015369,0.2127998024225235,0.6266666650772095,0.2508626878261566,0.0427217222750186,0.2676095962524414
10,0.6842857003211975,0.1975460052490234,0.0384916327893734,0.2126347571611404,0.5099999904632568,0.3003162443637848,0.0426463335752487,0.3170335590839386
11,0.6866666674613953,0.1983308941125869,0.0374116264283657,0.212996244430542,0.6433333158493042,0.2139896005392074,0.0419566556811332,0.230436623096466
12,0.7204762101173401,0.1832375973463058,0.036780796945095,0.1976556628942489,0.6822222471237183,0.2036911994218826,0.0395096689462661,0.2191789299249649
13,0.7519047856330872,0.174034297466278,0.0364353917539119,0.188316985964775,0.6855555772781372,0.2121517062187194,0.0399165526032447,0.2277990281581878
14,0.7361904978752136,0.1756647080183029,0.0361371412873268,0.1898304373025894,0.695555567741394,0.1975979506969452,0.0392355769872665,0.2129783183336258
15,0.7480952143669128,0.1676398068666458,0.0359062999486923,0.181715041399002,0.7200000286102295,0.1856297254562378,0.0393392629921436,0.2010506987571716
16,0.7699999809265137,0.1618929803371429,0.0357550457119941,0.1759089678525924,0.7300000190734863,0.1923685222864151,0.0392605140805244,0.2077586352825164
17,0.7695237994194031,0.1628766506910324,0.0350133366882801,0.1766019314527511,0.6733333468437195,0.2236931473016739,0.0404603630304336,0.2395536601543426
18,0.7442857027053833,0.1724198162555694,0.0362263061106205,0.1866205334663391,0.699999988079071,0.1945019513368606,0.0399342477321624,0.2101561874151229
19,0.7576190233230591,0.165646493434906,0.0348225459456443,0.1792969405651092,0.6877777576446533,0.203742504119873,0.0391374081373214,0.2190843820571899
20,0.7914285659790039,0.1505670249462127,0.0341540202498436,0.1639553904533386,0.653333306312561,0.2234182059764862,0.0386999547481536,0.2385886013507843
21,0.8147618770599365,0.139307752251625,0.0340933389961719,0.1526722759008407,0.7900000214576721,0.1621850281953811,0.0366067253053188,0.1765348464250564
22,0.8176190257072449,0.1424769014120102,0.0340019427239894,0.1558056473731994,0.801111102104187,0.1602793782949447,0.037232082337141,0.1748743504285812
23,0.8157142996788025,0.1363057345151901,0.0333847813308239,0.1493925899267196,0.746666669845581,0.1751650869846344,0.03707280382514,0.189697653055191
24,0.8133333325386047,0.1359953433275222,0.0332130342721939,0.1490148603916168,0.7933333516120911,0.1560581475496292,0.0360733233392238,0.170198917388916
25,0.8280952572822571,0.1316869407892227,0.032592087984085,0.1444630622863769,0.7555555701255798,0.1708420664072036,0.0393041223287582,0.186249241232872
26,0.834761917591095,0.1279875487089157,0.0322853326797485,0.1406434178352356,0.8111110925674438,0.1425133049488067,0.0349247567355632,0.156203806400299
27,0.8500000238418579,0.1195874959230423,0.0324767008423805,0.1323183625936508,0.8100000023841858,0.1446980983018875,0.03831672295928,0.159718245267868
28,0.845714271068573,0.118858627974987,0.0313537903130054,0.1311493068933487,0.7955555319786072,0.1507736593484878,0.0342524386942386,0.1642006188631057
29,0.8419047594070435,0.1260826140642166,0.0319473855197429,0.1386059820652008,0.7711111307144165,0.1598004847764969,0.0360825471580028,0.1739448606967926
30,0.8547618985176086,0.1134264096617698,0.0314719229936599,0.1257633864879608,0.8122222423553467,0.1478127688169479,0.0348667986690998,0.1614805459976196
31,0.8561905026435852,0.1166236251592636,0.0307132136076688,0.1286631971597671,0.8233333230018616,0.1399108320474624,0.0342982299625873,0.1533557474613189
32,0.8638095259666443,0.1109831780195236,0.0308096129447221,0.1230605468153953,0.846666693687439,0.1268393248319625,0.0336151532828807,0.1400164514780044
33,0.8728571534156799,0.1097531914710998,0.0306530464440584,0.1217691898345947,0.846666693687439,0.1295623630285263,0.0350746251642704,0.1433116197586059
34,0.868571400642395,0.1096405312418937,0.0307200904935598,0.1216828376054763,0.801111102104187,0.1546131074428558,0.0340297035872936,0.1679527312517166
35,0.8657143115997314,0.112504594027996,0.0304492246359586,0.1244406998157501,0.7844444513320923,0.1524053961038589,0.0339162983000278,0.1657005846500396
36,0.8666666746139526,0.1086783036589622,0.0300278067588806,0.1204491704702377,0.8444444537162781,0.1233364641666412,0.0352240428328514,0.1371442824602127
37,0.8876190185546875,0.1003715917468071,0.0298980269581079,0.1120916083455085,0.8366666436195374,0.1260250955820083,0.0341521799564361,0.1394127458333969
38,0.8799999952316284,0.1027837321162223,0.0295478757470846,0.1143665164709091,0.8488888740539551,0.1212819069623947,0.0330971330404281,0.1342559903860092
39,0.8842856884002686,0.098917432129383,0.0295866411179304,0.1105153858661651,0.8655555844306946,0.1215001121163368,0.0335297472774982,0.1346438080072403
40,0.8947619199752808,0.0991294085979461,0.0299827251583337,0.1108825951814651,0.8311111330986023,0.131527841091156,0.0343647040426731,0.1449988484382629
41,0.8642857074737549,0.1049982830882072,0.0299723856151103,0.1167474910616874,0.8288888931274414,0.1420182883739471,0.0338254533708095,0.1552778929471969
42,0.895714282989502,0.0981621742248535,0.0293471682816743,0.1096662953495979,0.8611111044883728,0.1184926852583885,0.0335650220513343,0.1316501796245575
43,0.903333306312561,0.0925562903285026,0.0290795024484395,0.1039554476737976,0.8733333349227905,0.1136269867420196,0.0327661521732807,0.1264712810516357
44,0.8999999761581421,0.0926287844777107,0.0291893817484378,0.1040710359811782,0.8744444251060486,0.1141712814569473,0.0324907228350639,0.1269076615571975
45,0.9019047617912292,0.0905205979943275,0.028944756835699,0.1018669381737709,0.8711110949516296,0.1109083145856857,0.0340796075761318,0.1242674961686134
46,0.9061904549598694,0.0883404463529586,0.0289292335510253,0.0996807217597961,0.8666666746139526,0.11251050978899,0.0324809849262237,0.1252430528402328
47,0.9066666960716248,0.0877484530210495,0.0287281163036823,0.0990098938345909,0.8566666841506958,0.1211115568876266,0.0329480320215225,0.1340271383523941
48,0.8976190686225891,0.0892194956541061,0.0288253314793109,0.100519023835659,0.8533333539962769,0.1174253448843956,0.0333581566810607,0.1305017471313476
49,0.9147619009017944,0.0865047872066497,0.0288319513201713,0.097806915640831,0.8811110854148865,0.1100194826722145,0.0317425765097141,0.1224625632166862
50,0.9133333563804626,0.0829102471470832,0.0283609442412853,0.0940277129411697,0.8722222447395325,0.1075337305665016,0.0316641256213188,0.1199460849165916
51,0.9138095378875732,0.086959533393383,0.0283549074083566,0.0980746373534202,0.8655555844306946,0.1153161525726318,0.0325396209955215,0.1280716806650161
52,0.9128571152687072,0.083326444029808,0.0284739956259727,0.094488225877285,0.8644444346427917,0.1164519041776657,0.0317745320498943,0.1289075165987014
53,0.9138095378875732,0.0797434747219085,0.0281435176730155,0.0907757729291915,0.855555534362793,0.1170161888003349,0.0322779342532157,0.1296691447496414
54,0.9114285707473756,0.0802431553602218,0.0284999255090951,0.0914151445031166,0.8755555748939514,0.1040812283754348,0.0317499861121177,0.1165272146463394
55,0.9066666960716248,0.0808800011873245,0.0279692262411117,0.0918439105153083,0.8855555653572083,0.1077394783496856,0.0324887968599796,0.1204750686883926
56,0.918571412563324,0.0778916478157043,0.027770834043622,0.0887778177857399,0.8711110949516296,0.1079963371157646,0.0308596976101398,0.1200933530926704
57,0.9209523797035216,0.0766286104917526,0.027852090075612,0.0875466391444206,0.8766666650772095,0.1061345115303993,0.0317707620561122,0.1185886487364769
58,0.9157142639160156,0.0788340717554092,0.0277809835970401,0.0897242054343223,0.8766666650772095,0.1035351082682609,0.0325484164059162,0.1162941083312034
59,0.9266666769981384,0.0770556926727294,0.0281901322305202,0.0881062075495719,0.8799999952316284,0.1034477800130844,0.0314306430518627,0.1157685667276382
60,0.9200000166893004,0.0746521949768066,0.027479987591505,0.0854243487119674,0.8722222447395325,0.1067175939679145,0.0315999165177345,0.1191047504544258
